,0,1,2,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,Tax-Supported Debt Service Outstanding as of 8/31/03 ,2002 M&O Tax Rate ,2002 I&S Tax Rate ,2002 TOTAL Tax Rate ,2002 Tax Year Assessed Valuation (AV) ,Population ,Debt Ratio Tax Debt to Assessed Valuation (AV) ,Debt Ratio Tax Debt Service to AV ,Debt Ratio Tax Debt Per Capita 
165,154-000-00,Madison County,MADISON,1575000,228957.5,1803957.5,0.4342,0.0808,0.515,358154060,12821,0.004397548920707474,0.005036819909287082,122.84533187738866
166,155-000-00,Marion County,MARION,120000,37612.16,157612.16,0.544372,0.01937,0.563742,429895350,11028,0.0002791377017685816,0.0003666291342765164,10.88139281828074
167,156-000-00,Martin County,MARTIN,,,,0.5034,0,0.5034,424927420,4600,0,0,0
168,157-000-00,Mason County,MASON,,,,0.53927,0,0.53927,170473950,3777,0,0,0
169,158-000-00,Matagorda County,MATAGORDA,,,,0.3216,0,0.3216,2558599533,38290,0,0,0
170,159-000-00,Maverick County,MAVERICK,13745000,4313873.875,18058873.875,0.198,0.095,0.293,1059088669,50178,0.012978139038139403,0.017051333286429486,273.92482761369524
171,160-000-00,McCulloch County,MCCULLOCH,,,,0.40154,0,0.40154,254178760,7896,0,0,0
172,161-000-00,McLennan County,MCLENNAN,46780000,19934356.25,66714356.25,0.3608,0.0678,0.4286,6676956897,219807,0.007006185710292447,0.00999173085570991,212.823067509224
173,162-000-00,McMullen County,MCMULLEN,,,,0.569,0,0.569,232875537,868,0,0,0
174,163-000-00,Medina County,MEDINA,5220000,1787846.25,7007846.25,0.5209,0.0491,0.57,1093718587,41553,0.0047727085029414425,0.006407357736528985,125.62269872211392
175,164-000-00,Menard County,MENARD,,,,0.68137,0,0.68137,95561480,2354,0,0,0
176,165-000-00,Midland County,MIDLAND,5475000,1192325,6667325,0.24313,0.02057,0.2637,5300866638,118624,0.0010328499798036232,0.0012577801811130944,46.15423523064472
177,166-000-00,Milam County,MILAM,1165000,63980.41666667,1228980.41666667,0.44883,0.03117,0.48,1076369079,25103,0.0010823425001044646,0.001141783465025262,46.40879576146278
178,166-000-00,Milam County-CONDUIT,MILAM,,,,,,,,,0,0,0
179,167-000-00,Mills County,MILLS,,,,0.5882,0,0.5882,195849134,5038,0,0,0
180,168-000-00,Mitchell County,MITCHELL,,,,0.6661,0,0.6661,360555608,9316,0,0,0
181,169-000-00,Montague County,MONTAGUE,2050000,417656.25,2467656.25,0.4799,0.0122,0.4921,656580180,19416,0.0031222386274285647,0.003758347152666107,105.58302430984754
182,170-000-00,Montgomery County,Montgomery,143566530.15,106153258.6,249719788.75,0.4093,0.0617,0.471,16290585501,344700,0.008812852683605949,0.015329086160510985,416.49704134029594
183,171-000-00,Moore County,MOORE,2500000,1429957.5,3929957.5,0.37322,0,0.37322,1559281344,20234,0.0016033027071219804,0.0025203645994497322,123.55441336364535
184,172-000-00,Morris County,MORRIS,,,,0.28747,0,0.28747,564013308,13167,0,0,0
185,173-000-00,Motley County,MOTLEY,,,,0.8,0,0.8,60497219,1304,0,0,0
186,174-000-00,Nacogdoches County,NACOGDOCHES,15240000,5058341.38333333,20298341.38333333,0.34258,0.09492,0.4375,1790149335,59584,0.008513256241831914,0.011338909545964403,255.7733619763695
187,175-000-00,Navarro County,NAVARRO,4900000,2173900,7073900,0.5285,0.0575,0.586,1485717228,47331,0.003298070391629059,0.004761269417009143,103.52623016627581
188,176-000-00,Newton County,NEWTON,,,,0.65,0,0.65,376246396,14869,0,0,0
189,177-000-00,Nolan County,NOLAN,480000,68110,548110,0.48,0,0.48,729394827,15110,0.000658079797431851,0.0007514585786882747,31.767041694242224
190,178-000-00,Nueces County,NUECES,19445000,7013932.5,26458932.5,0.348876,0.017442,0.366318,11438732079,315206,0.0016999261688888097,0.0023131001161024746,61.689815549196396
191,179-000-00,Ochiltree County,OCHILTREE,,,,0.521,0,0.521,620609447,8986,0,0,0
192,180-000-00,Oldham County,OLDHAM,,,,0.69837,0,0.69837,111701518,2159,0,0,0
193,181-000-00,Orange County,ORANGE,3220000,678800,3898800,0.52348,0.01236,0.53584,2988794187,84390,0.0010773575557680246,0.0013044725585181285,38.156179642137694
194,182-000-00,Palo Pinto County,PALO PINTO,1552678.43,197726.12667,1750404.55667,0.356903,0.039818,0.396721,1221861497,27325,0.001270748308062939,0.0014325719903341876,56.82263238792314
195,183-000-00,Panola County,PANOLA,,,,0.3677,0,0.3677,2583592323,22606,0,0,0
196,184-000-00,Parker County,PARKER,8275000,688111.5,8963111.5,0.3277,0.0141,0.3418,4165613934,97480,0.0019865019013065362,0.0021516903971447107,84.88920804267542
197,185-000-00,Parmer County,PARMER,3200000,1854769.44445,5054769.44445,0.4466,0,0.4466,437175999,9896,0.007319706496513319,0.011562321481536776,323.36297493936945
198,186-000-00,Pecos County,PECOS,21005000,6395311.96,27400311.96,0.5866,0.1273,0.7139,1826736515,16039,0.011498647904347606,0.014999597224342997,1309.6203005174887
199,187-000-00,Polk County,POLK,5905000,599816.46527778,6504816.46527778,0.4392,0.1158,0.555,1612039175,45323,0.0036630623446232318,0.0040351478835976675,130.28705072479755
200,188-000-00,Potter County,POTTER,23135000,8296590.8333333,31431590.8333333,0.51155,0.041265,0.552815,4472657391,117335,0.005172540165171797,0.007027497991815957,197.17049473729065
201,189-000-00,Presidio County,PRESIDIO,3150000,1537896.25,4687896.25,0.5338,0,0.5338,182997312,7591,0.01721336759307153,0.02561729567918462,414.96509023844027
202,190-000-00,Rains County,RAINS,761545.71,186881.12,948426.83,0.5862,0.0372,0.6234,339037062,10857,0.0022462019506292205,0.0027974134285059372,70.14329096435479
203,191-000-00,Randall County,RANDALL,17290000,8533557.5,25823557.5,0.29999,0.03419,0.33418,4649566600,107333,0.003718626161844848,0.005553970879780494,161.08745679334407
204,192-000-00,Reagan County,REAGAN,3610000,756701.25,4366701.25,0.71966,0.06221,0.78187,472978176,3054,0.007632487465975597,0.009232352509220214,1182.0563195808775
205,193-000-00,Real County,REAL,,,,0.5996,0,0.5996,173407829,3020,0,0,0
206,194-000-00,Red River County,RED RIVER,150000,15968.630136987,165968.630136987,0.68032,0.0116,0.69192,323037960,13812,0.0004643417138964102,0.0005137743878056529,10.860121633362294
207,195-000-00,Reeves County,REEVES,581458.75,138990.37,720449.12,0.40513,0,0.40513,453142400,12238,0.0012831700366154216,0.001589895626628627,47.51256332734107
208,196-000-00,Refugio County,REFUGIO,,,,0.6361,0.0025,0.6386,552343810,7625,0,0,0
209,197-000-00,Roberts County,ROBERTS,,,,0.43863,0,0.43863,349312139,820,0,0,0
